

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

073.703  000.162  000.162: require telescope.actions.utils
074.102  000.189  000.189: require telescope.actions.mt
074.114  000.409  000.220: require telescope.actions.set
074.521  000.185  000.185: require telescope.config.resolve
074.525  000.402  000.217: require telescope.pickers.entry_display
074.641  000.115  000.115: require telescope.from_entry
074.750  008.278  000.809: require telescope.actions
075.641  000.700  000.700: require telescope.make_entry
076.349  000.102  000.102: require plenary.tbl
076.354  000.229  000.127: require plenary.vararg.rotate
076.355  000.316  000.087: require plenary.vararg
076.454  000.097  000.097: require plenary.errors
076.458  000.562  000.149: require plenary.async.async
076.980  000.122  000.122: require plenary.async.structs
076.988  000.296  000.174: require plenary.async.control
076.992  000.440  000.144: require plenary.async.util
076.995  000.535  000.096: require plenary.async.tests
076.997  001.223  000.126: require plenary.async
077.000  001.355  000.132: require telescope.finders.async_static_finder
077.481  000.113  000.113: require plenary.class
077.493  000.352  000.240: require telescope._
077.496  000.495  000.142: require telescope.finders.async_oneshot_finder
077.629  000.132  000.132: require telescope.finders.async_job_finder
077.635  002.883  000.201: require telescope.finders
077.934  000.139  000.139: require telescope.previewers.previewer
078.336  000.400  000.400: require telescope.previewers.term_previewer
079.384  000.124  000.124: require plenary.context_manager
080.105  000.191  000.191: require nvim-treesitter.utils
082.350  000.521  000.521: require vim.treesitter.language
082.364  000.963  000.442: require vim.treesitter.query
082.873  000.507  000.507: require vim.treesitter.languagetree
082.930  002.306  000.835: require vim.treesitter
083.079  002.970  000.665: require nvim-treesitter.parsers
084.379  000.305  000.305: require nvim-treesitter.ts_utils
084.387  000.496  000.191: require nvim-treesitter.tsrange
084.498  000.109  000.109: require nvim-treesitter.caching
084.512  000.892  000.288: require nvim-treesitter.query
084.532  001.252  000.360: require nvim-treesitter.configs
084.535  001.454  000.202: require nvim-treesitter.info
084.774  000.237  000.237: require nvim-treesitter.shell_command_selectors
084.802  005.284  000.432: require nvim-treesitter.install
085.018  000.213  000.213: require nvim-treesitter.query_predicates
085.026  005.638  000.140: require nvim-treesitter
085.034  005.993  000.231: require telescope.previewers.utils
087.037  002.001  002.001: require plenary.filetype
087.443  000.402  000.402: require plenary.scandir
087.480  009.141  000.746: require telescope.previewers.buffer_previewer
087.484  009.832  000.151: require telescope.previewers
088.409  000.184  000.184: require telescope.debounce
088.684  000.272  000.272: require telescope.mappings
088.854  000.166  000.166: require telescope.pickers.highlights
088.976  000.119  000.119: require telescope.pickers.window
089.338  000.194  000.194: require telescope.algos.linked_list
089.343  000.365  000.171: require telescope.entry_manager
089.471  000.127  000.127: require telescope.pickers.multi
089.484  001.999  000.766: require telescope.pickers
089.642  000.155  000.155: require telescope._extensions.gh_previewers
089.911  000.267  000.267: require telescope._extensions.gh_actions
090.081  000.167  000.167: require telescope._extensions.gh_make_entry
090.086  024.096  000.516: require telescope._extensions.gh_builtin
090.089  024.209  000.114: require telescope._extensions.gh
090.334  000.061  000.061: require neorg.callbacks
090.574  000.123  000.123: require neorg.external.log
090.940  000.068  000.068: require neorg.config
090.945  000.191  000.123: require neorg.modules.base
090.948  000.372  000.180: require neorg.modules
091.189  000.240  000.240: require neorg.external.helpers
091.194  000.858  000.123: require neorg.events
091.198  001.018  000.099: require neorg
091.857  000.602  000.602: require vim.filetype
091.916  001.800  000.181: require plugins.neorg
092.320  000.066  000.066: require nvim-autopairs._log
092.467  000.144  000.144: require nvim-autopairs.utils
092.876  000.181  000.181: require nvim-autopairs.conds
092.888  000.327  000.146: require nvim-autopairs.rule
092.891  000.421  000.094: require nvim-autopairs.rules.basic
092.898  000.978  000.347: require nvim-autopairs
093.433  000.087  000.087: require nvim-autopairs.completion.handlers
094.067  000.072  000.072: require cmp.utils.debug
094.385  000.117  000.117: require cmp.utils.char
094.393  000.323  000.206: require cmp.utils.str
094.466  000.071  000.071: require cmp.utils.pattern
094.937  000.161  000.161: require cmp.utils.misc
095.012  000.071  000.071: require cmp.utils.buffer
095.111  000.096  000.096: require cmp.utils.api
095.118  000.539  000.210: require cmp.utils.keymap
095.122  000.653  000.114: require cmp.utils.feedkeys
095.238  000.115  000.115: require cmp.utils.async
095.477  000.073  000.073: require cmp.types.cmp
095.622  000.142  000.142: require cmp.types.lsp
095.713  000.088  000.088: require cmp.types.vim
095.717  000.372  000.069: require cmp.types
095.832  000.114  000.114: require cmp.utils.cache
095.842  000.601  000.115: require cmp.context
096.679  000.219  000.219: require cmp.config.mapping
097.161  000.303  000.303: require cmp.config.compare
097.167  000.482  000.179: require cmp.config.default
097.204  000.997  000.296: require cmp.config
098.010  000.273  000.273: require cmp.matcher
098.019  000.809  000.536: require cmp.entry
